,Rank,Conference,Short Name,H5-Index
666,667,Emerging Technologies and Factory Automation,ETFA,17.00
667,668,Field Programmable Logic and Applications,FPL,17.00
668,669,International Conference on Model Driven Engineering Languages and Systems,MoDELS,17.00
669,670,SIGMOD Record,,17.00
670,671,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,17.00
671,672,ACM Symposium on Access Control Modelsand Technologies,SACMAT,17.00
672,673,International Workshop on Mobile Computing Systems and Applications,HotMobile,17.00
673,674,,HT,17.00
674,675,National Forum on Quality Improvement in Health Care,IHI,17.00
675,676,Eye Tracking Research & Application,ETRA,17.00
676,677,Asia-Pacific Network Operations and Management Symposium,NOMS,17.00
677,678,Distributed Event-Based Systems,DEBS,17.00
678,679,German Conference on Artificial Intelligence,KI,17.00
679,680,"Simulation Tools and Techniques for Communications, Networks and Systems",SimuTools,17.00
680,681,International Conference on Parallel Processing Workshops,ICPP workshops,17.00
681,682,International Conference on Machine Learning,ICML,17.00
682,683,International Journal of Digital Earth,Int. J. Digital Earth,17.00
683,684,IEEE Transactions on Autonomous Mental Development,TAMD,17.00
684,685,Java-Informations-Tage,JIT,17.00
685,686,Natural Computing,,17.00
686,687,Journal of Software Maintenance,,17.00
687,688,Journal of Applied Mathematics,,17.00
688,689,Journal of Complexity,,17.00
689,690,ACM Transactions on Multimedia Computing,TOMC,17.00
690,691,"Journal of Combinatorial Theory, Series B","J. Comb. Theory, Ser. B",17.00
691,692,"Combinatorics, Probability & Computing",CPC,17.00
692,693,Scholarpedia,,17.00
693,694,IEICE Transactions,,17.00
694,695,Behaviour & Information Technology,BIT,17.00
695,696,Data Engineering Bulletin Issues,IEEE Data Eng. Bull.,17.00
696,697,International Journal of Human-Computer Interaction,Int. J. Hum. Comput. Interaction,17.00
697,698,Optimization Letters,,17.00
698,699,Journal of Information Science,JIS,17.00
699,700,International Journal of Computer Mathematics,Int. J. Comput. Math.,17.00
700,701,IEEE Journal of Emerging and Selected Topics in Circuits and Systems,IEEE J. Emerg. Sel. Topics Circuits Syst.,17.00
701,702,Formal Aspects of Computing,Formal Asp. Comput.,17.00
702,703,Software Quality Journal,SQJ,17.00
703,704,Interactive Learning Environments,INTERACT LEARN ENVIRON,17.00
704,705,Social Choice and Welfare,SOC CHOICE WELFARE,17.00
705,706,FO & DM,,17.00
706,707,Journal of Computational Science,J. Comput. Science,17.00
707,708,IEEE Computational Intelligence Magazine,CIM,17.00
708,709,Comp. Int. and Neurosc.,,17.00
709,710,AI Magazine,,16.00
710,711,IEEE MultiMedia,,16.00
711,712,Constraints,,16.00
712,713,Information Visualization,IVS,16.00
713,714,Systems Engineering,SYST ENG,16.00
714,715,Statistical Analysis and Data Mining,,16.00
715,716,ACM Symposium on Computational Geometry,SoCG,16.00
716,717,Quantum Information & Computation,QUANTUM INF COMPUT,16.00
717,718,Cognitive Systems Research,,16.00
718,719,CVPR Workshops,,16.00
719,720,ICST Workshops,,16.00
720,721,IEEE Workshop on Spoken Language Technology,SLT,16.00
721,722,Quantitative Evaluation of Systems,QEST,16.00
722,723,ICDE Workshops,,16.00
723,724,International Symposium on Experimental Robotics,ISER,16.00
724,725,International Symposium on Quality Electronic Design,ISQED,16.00
725,726,International Conference on Web Engineering,ICWE,16.00
726,727,International Conference on Database Theory,ICDT,16.00
727,728,ACM International Conference on Multimodal Interaction,ICMI,16.00
728,729,"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,16.00
729,730,ACM Transactions on Applied Perception,TAP,16.00
730,731,Mobile and Ubiquitous Multimedia,MUM,16.00
731,732,,OM,16.00
732,733,Interaction Design and Children,IDC,16.00
733,734,European Conference on Computer Vision,ECCV,16.00
734,735,ACL (System Demonstrations),,16.00
735,736,Picture Coding Symposium,PCS,16.00
736,737,,PervasiveHealth,16.00
737,738,Nordic Conference on Human-Computer Interaction,NordiCHI,16.00
738,739,,SEA,16.00
739,740,Mass Storage Systems and Technologies,MSST,16.00
740,741,international conference devoted to engineering usable and effective interactive computing systems,EICS,16.00
741,742,ECML/PKDD (1),ECML/PKDD,16.00
742,743,Annual Meeting of the Special Interest Group on Discourse and Dialogue,SIGDIAL Conference,16.00
743,744,International Conference on Conceptual Modeling,ER,16.00
744,745,Document Analysis Systems,DAS,16.00
745,746,Conference on Automated Deduction/The International Joint Conference onAutomated Reasoning,CADE/IJCAR,16.00
746,747,IEEE International Conference on Mobile Ad hoc and Sensor Systems,MASS,16.00
747,748,International Conference on Communication Systems and Networks,COMSNETS,16.00
748,749,Privacy Enhancing Technologies,PETS,16.00
749,750,IEEE International Symposium on Reliable Distributed Systems,SRDS,16.00
750,751,International Conference on Software Engineering,ICSE,16.00
751,752,Usenix Security Symposium,USENIX Security,16.00
752,753,Economics of Information Security,WEIS,16.00
753,754,ACM Cloud Computing Security Workshop,CCSW,16.00
754,755,International Workshop on Quality of Service,IWQoS,16.00
755,756,Formal Method in Computer-Aided Design,FMCAD,16.00
756,757,"Knowledge Acquisition, Modeling and Management",EKAW,16.00
757,758,Allerton,,16.00
758,759,Innovative Smart Grid Technologies Conference,ISGT,16.00
759,760,IEEE Conference on Local Computer Networks,LCN,16.00
760,761,International Conference on Machine Learning,ICML,16.00
761,762,Information Processing in Medical Imaging,IPMI,16.00
762,763,International Working Conference on Advanced User Interfaces,AVI,16.00
763,764,International Conference on Model Transformation,ICMT,16.00
764,765,"Parallel, Distributed and network-based processing",PDP,16.00
765,766,ACM Transactions on Interactive Intelligent Systems,TiiS,16.00
766,767,International Journal of Bio-Inspired Computation,IJBIC,16.00
767,768,International Journal of Social Robotics,I. J. Social Robotics,16.00
768,769,Computational Geometry,Comput. Geom.,16.00
769,770,SIAM Journal on Applied Dynamical Systems,SIADS,16.00
770,771,The Electronic Journal of Combinatorics,Electr. J. Comb.,16.00
771,772,Biosystems,,16.00
772,773,Information Systems and e-Business Management,Inf. Syst. E-Business Management,16.00
773,774,International Journal of Distributed Sensor Networks,IJDSN,16.00
774,775,Journal of Functional Programming,J. Funct. Program.,16.00
775,776,Decision Sciences,DECISION SCI,16.00
776,777,Journal of Networks,JNW,16.00
777,778,Journal of Combinatorial Optimization,J. Comb. Optim.,16.00
778,779,GeoInformatica,,16.00
779,780,International Journal of Sensor Networks,IJSNet,16.00
780,781,International Journal of Biomedical Imaging,Int. J. Biomedical Imaging,16.00
781,782,International Journal of Information Technology and Decision Making,IJITDM,16.00
782,783,Journal of Systems Architecture - Embedded Systems Design,JSA,16.00
783,784,Software Testing Verification & Reliability,STVR,16.00
784,785,Theoretical Computer Science,TCS,15.00
785,786,Computer Aided Geometric Design,CAGD,15.00
786,787,ACM SIGSOFT Software Engineering Notes,SEN,15.00
787,788,Journal of Graph Theory,JGT,15.00
788,789,Selected Areas in Cryptography,SAC,15.00
789,790,Mobile Communications,,15.00
790,791,IT Professional,,15.00
791,792,Natural Language Engineering,NLE,15.00
792,793,Bell Labs Technical Journal,BLTJ,15.00
793,794,Workshop on General Purpose Processing Using GPUs,GPGPU,15.00
794,795,High Performance Graphics,,15.00
795,796,Security and Communication Networks,SCN,15.00
796,797,Annual Reviews in Control,,15.00
797,798,OTM Conferences (1),OTM Conferences,15.00
798,799,Wearable and Implantable Body Sensor Networks,BSN,15.00
799,800,,LDOW,15.00
800,801,International Conference on Mobile Data Management,MDM,15.00
801,802,AINA Workshops,,15.00
802,803,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,SECON,15.00
803,804,International Conference on Scientific and Statistical DB Management,SSDBM,15.00
804,805,Requirements Engineering: Foundation for Software Quality,REFSQ,15.00
805,806,"Formal Methods, World Congress",FM,15.00
806,807,Intelligent Tutoring Systems (1),Intelligent Tutoring Systems,15.00
807,808,Graphics Interface conference,GI,15.00
808,809,ECCV Workshops (1),ECCV Workshops,15.00
809,810,Artificial Intelligence and Interactive Digital Entertainment Conference,AIIDE,15.00
810,811,IEEE Conference on Visual Analytics Science and Technology,IEEE VAST,15.00
811,812,European conference covering all aspects of parallel and distributed processing,Euro-Par,15.00
812,813,NASA Formal Methods,,15.00
813,814,IEEE International Conference on Semantic Computing,ICSC,15.00
814,815,String Processing and Information Retrieval,SPIRE,15.00
815,816,EvoApplications (1),EvoApplications,15.00
816,817,Trusted Computing - Challenges and Applications,TRUST,15.00
817,818,Rough Sets and Knowledge Technology,RSKT,15.00
818,819,International Conference on Performance Engineering,ICPE,15.00
819,820,Description Logics,DLog,15.00
820,821,International Geoscience and Remote Sensing Symposium,IGARSS,15.00
821,822,Persuasive Technology,PERSUASIVE,15.00
822,823,"International Colloquium on Automata, Languages, and Programming",ICALP,15.00
823,824,International Green Computing Conference,IGCC,15.00
824,825,,ACSCC,15.00
825,826,ICDCS Workshops,,15.00
826,827,,EDOC,15.00
827,828,International Test Conference,ITC,15.00
828,829,International Conference on Frontiers in Handwriting Recognition,ICFHR,15.00
829,830,conference on Interactive Theorem Proving,ITP,15.00
830,831,IEEE Symposium on Visual Languages and Human-Centric Computing,VL/HCC,15.00
831,832,Abdominal Imaging,ABDOM IMAGING,15.00
832,833,International Conference on Principles and Practice of Constraint Programming,CP,15.00
833,834,IEEE International Symposium on Workload Characterization,IISWC,15.00
834,835,Journal of Grid Computing,GRID,15.00
835,836,Variability Modelling of Software-Intensive Systems,VaMoS,15.00
836,837,Multimedia Signal Processing,MMSP,15.00
837,838,"International Conference on availability, reliability and security",ARES,15.00
838,839,Business Process Management Workshops,BPM workshops,15.00
839,840,International Conference on Uncertainty in Artificial Intelligence,UAI,15.00
840,841,IEEE Custom Integrated Circuits Conference,CICC,15.00
841,842,,LION,15.00
842,843,International Conference on Parallel and Distributed Systems,ICPADS,15.00
843,844,International Conference on Parallel Problem Solving from Nature,PPSN,15.00
844,845,The European Conference on Technology Enhanced Learning,EC-TEL,15.00
845,846,The International Symposium on DIStributed Computing,DISC,15.00
846,847,Applied Cryptography and Network Security,ACNS,15.00
847,848,Interactions,,15.00
848,849,AI EDAM,,15.00
849,850,Social Network Analysis and Mining,Social Netw. Analys. Mining,15.00
850,851,ACM Transactions on Modeling and Computer Simulation,TOMACS,15.00
851,852,The ACM Journal on Emerging Technologies in Computing Systems,JETC,15.00
852,853,Procedia CS,,15.00
853,854,Teleoperators and Virtual Environments,Presence,15.00
854,855,International Journal of Technology Management,IJTM,15.00
855,856,Computer Science - R&D,,15.00
856,857,Journal of Intelligent Information Systems,J. Intell. Inf. Syst.,15.00
857,858,Journal of Ambient Intelligence and Smart Environments,JAISE,15.00
858,859,Logic Journal of the IGPL,,15.00
859,860,AI Communications,AI Commun.,15.00
860,861,Cognitive Processing,COGN PROCESS,15.00
861,862,Neuroinformatics,,15.00
862,863,Advanced Robotics,,15.00
863,864,International Journal of Computer Integrated Manufacturing,Int. J. Computer Integrated Manufacturing,15.00
864,865,Future Internet,,15.00
865,866,Journal of Nonlinear Science,J. Nonlinear Science,15.00
866,867,International Journal of High Performance Computing Applications,IJHPCA,15.00
867,868,Encyclopedia of Cryptography and Security (2nd Ed.),,15.00
868,869,Information Economics and Policy,IEPOL,14.00
869,870,Applied Artificial Intelligence,AAI,14.00
870,871,Scientific Programming,SP,14.00
871,872,Neural Processing Letters,NPL,14.00
872,873,Information Technology and Management,ITM,14.00
873,874,Human Computer Interaction,HCI,14.00
874,875,Universal Access in the Information Society,UAIS,14.00
875,876,VLSI Design,,14.00
876,877,Discrete Optimization,,14.00
877,878,Ecological Informatics,,14.00
878,879,Swarm Intelligence,,14.00
879,880,Non-Photorealistic Animation and Rendering,NPAR,14.00
880,881,Pacific Symposium on Biocomputing,,14.00
881,882,CLEF (Notebook Papers/LABs/Workshops),,14.00
882,883,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",MSWiM,14.00
883,884,International Conference on High Performance Computing,HiPC,14.00
884,885,International Conference on Field-Programmable Technology,FPT,14.00
885,886,International Conference on Information Technology: New Generations,ITNG,14.00
886,887,ACM SIGCOMM Workshop on Hot Topics in Software Defined Networking,HotSDN,14.00
887,888,"International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation",ICSAMOS,14.00
888,889,European Symposium on Algorithms,ESA,14.00
889,890,Affective computing and intelligent interaction,ACII,14.00
890,891,International Conference on Latent Variable Analysis and Source Separation,LVA/ICA,14.00
891,892,Vehicular Networking Conference,VNC,14.00
892,893,VLSI Test Symposium,VTS,14.00
893,894,Conference of the Association for Computational Linguistics,ACL,14.00
894,895,ACM SIGPLAN Symposium on Partial Evaluation and Semantics Based Programming Manipulation,PEPM,14.00
895,896,European conference covering all aspects of parallel and distributed processing,Euro-Par,14.00
896,897,IEEE Congress on Services,SERVICES,14.00
897,898,International conference on network and system security,NSS,14.00
898,899,Asian Conference on Computer Vision,ACCV,14.00
899,900,Asian Conference on Computer Vision,ACCV,14.00
900,901,EUROPEAN CONFERENCE ON MODELLING FOUNDATIONS AND APPLICATIONS,ECMFA,14.00
901,902,Information Assurance and Security,IAS,14.00
902,903,Design Science Research in Information Systems and Technologies,DESRIST,14.00
903,904,IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,14.00
904,905,International symposium on robotics and german conference on robotics,ISR/ROBOTIK,14.00
905,906,Computational Models of Argument,COMMA,14.00
906,907,International Conference on Cloud Computing and Services Science,CLOSER,14.00
907,908,Networking (1),Networking,14.00
908,909,Workshop On Privacy In The Electronic Society,WPES,14.00
909,910,Green Computing Conference,,14.00
910,911,Component-Based Software Engineering,CBSE,14.00
911,912,Network and Operating System Support for Digital Audio and Video,NOSSDAV,14.00
912,913,International Conference on Rewriting Techniques and Applications,RTA,14.00
913,914,International Symposium on Automated Technology for Verification and Analysis,ATVA,14.00
914,915,International Conference on Collaboration Technologies and Systems,CTS,14.00
915,916,GLOBECOM Workshops,,14.00
916,917,Workshop on Internet and Network Economics,WINE,14.00
917,918,,SPSM@CCS,14.00
918,919,Foundations of Software Technologyand Theoretical Computer Science,FSTTCS,14.00
919,920,FLAIRS Conference,,14.00
920,921,International Conference on Automation Science and Engineering,CASE,14.00
921,922,Conference on Image and Video Retrieval,CIVR,14.00
922,923,Wireless and Moble Computing,WiMob,14.00
923,924,International Conference on Pervasive Technologies Related to Assistive Environments,PETRA,14.00
924,925,International Conference on Integer Programming and Combinatorial Optimization,IPCO,14.00
925,926,Algorithm Engineering and Experimentation,ALENEX,14.00
926,927,,WAFR,14.00
927,928,Allerton Conference,,14.00
928,929,,eScience,14.00
929,930,International Conference on Utility and Cloud Computing,UCC,14.00
930,931,DSN Workshops,,14.00
931,932,ACM Web Science,WebSci,14.00
932,933,Computational and Mathematical Methods in Medicine,Comp. Math. Methods in Medicine,14.00
933,934,ACM Transactions on Autonomous and Adaptive Systems,TAAS,14.00
934,935,Annals of Mathematics and Artificial Intelligence,Ann. Math. Artif. Intell.,14.00
935,936,European Journal of Control,Eur. J. Control,14.00
936,937,Journal of Discrete Algorithms,JDA,14.00
937,938,Language and Linguistics Compass,,14.00
938,939,The Journal of Logic and Algebraic Programming,J. Log. Algebr. Program.,14.00
939,940,Internet Research,,14.00
940,941,Journal of Intelligent and Fuzzy Systems,JIFS,14.00
941,942,Journal of Computer Science and Technology,JCST,14.00
942,943,Theory of Computing,,14.00
943,944,Computer Science and Information Systems,ComSIS,14.00
944,945,"Designs, Codes and Cryptography",Des. Codes Cryptography,14.00
945,946,Journal of Artificial Societies and Social Simulation,JASSS,14.00
946,947,ACM Transactions on Design Automation of Electronic Systems,TODAES,14.00
947,948,Natural history museum,NHM,14.00
948,949,ACM Transactions on Computing Education,TOCE,14.00
949,950,Math. Program. Comput.,Math. Program. Comput.,14.00
950,951,International Journal of Foundations of Computer Science,IJFCS,14.00
951,952,Computer Systems Engineering,Eng. Comput. (Lond.),14.00
952,953,Adaptive Behaviour,,14.00
953,954,Algorithms for Molecular Biology,Algorithms Mol Biol,14.00
954,955,Annals of Pure and Applied Logic,Ann. Pure Appl. Logic,14.00
955,956,Journal of Visual Languages and Computing,J. Vis. Lang. Comput.,14.00
956,957,Combinatorica,,13.00
957,958,Computer Communications,CC,13.00
958,959,Artificial Life,,13.00
959,960,Complexity,,13.00
960,961,Integrated Computer-Aided Engineering,ICAE,13.00
961,962,"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",,13.00
962,963,Virtual Reality,VR,13.00
963,964,Machine Translation,MT,13.00
964,965,Genetic Programming and Evolvable Machines,GPEM,13.00
965,966,Web Intelligence,WI,13.00
966,967,Mathematical Structures in Computer Science,MSCS,13.00
967,968,Decision Analysis,DECIS ANAL,13.00
968,969,Information and Organization,,13.00
969,970,Computational Biology and Chemistry,,13.00
970,971,Applied Ontology,,13.00
971,972,Theory in Biosciences,THEOR BIOSCI,13.00
972,973,Digital Investigation,,13.00
973,974,International Workshop on Information Forensics and Security,WIFS,13.00
974,975,EDBT/ICDT Workshops,,13.00
975,976,IEEE International Conference on Global Software Engineering,ICGSE,13.00
976,977,International Annual Symposium on Combinatorial Search,SOCS,13.00
977,978,World Haptics,,13.00
978,979,RoboCup Competition and Symposium,RoboCup,13.00
979,980,"International Conference on Computer Safety, Reliability and Security",SAFECOMP,13.00
980,981,ACM Great Lakes Symposium on VLSI,,13.00
981,982,International Joint Conference on Biometrics,ICB,13.00
982,983,,FOSSACS,13.00
983,984,ISoLA (1),ISoLA,13.00
984,985,IFIP International Information Security Conference,SEC,13.00
985,986,International Symposium on Wireless Communications Systems,ISWCS,13.00
986,987,Integrated Network Management,,13.00
987,988,International Conference on Natural Computation,ICNC,13.00
988,989,USENIX Workshop on Hot Topics in Operating Systems,HotOS,13.00
989,990,International Symposium on Memory Management,ISMM,13.00
990,991,Petri Nets,,13.00
991,992,Web Reasoning and Rule Systems,RR,13.00
992,993,,DAGM-Symposium,13.00
993,994,"International Conference on Languages, Compilers, Tools and Theory for Embedded Systems",LCTES,13.00
994,995,INTERACT (2),INTERACT,13.00
995,996,,BMMDS/EMMSAD,13.00
996,997,Engineering Secure Software and Systems,ESSoS,13.00
997,998,Euromicro Symposium on Digital Systems Design,DSD,13.00
998,999,International Conference on Quality Software,QSIC,13.00
999,1000,International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing,IMIS,13.00
